Step,msmarco_actor,msmarco_actor - avg_return_eval__MIN,msmarco_actor - avg_return_eval__MAX,msmarco,msmarco - avg_return_eval__MIN,msmarco - avg_return_eval__MAX
0,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445
1,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445
2,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.16444444444444445,0.16444444444444445,0.16444444444444445
3,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.1688888888888889,0.1688888888888889,0.1688888888888889
4,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445
5,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445,0.16444444444444445
6,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.16,0.16,0.16
7,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.16,0.16,0.16
8,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.16,0.16,0.16
9,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.16,0.16,0.16
10,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.16,0.16,0.16
11,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.16,0.16,0.16
12,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.16444444444444445,0.16444444444444445,0.16444444444444445
13,0.18222222222222223,0.18222222222222223,0.18222222222222223,0.16444444444444445,0.16444444444444445,0.16444444444444445
14,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.1688888888888889,0.1688888888888889,0.1688888888888889
15,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.1688888888888889,0.1688888888888889,0.1688888888888889
16,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.1688888888888889,0.1688888888888889,0.1688888888888889
17,0.18222222222222223,0.18222222222222223,0.18222222222222223,0.1688888888888889,0.1688888888888889,0.1688888888888889
18,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.16444444444444445,0.16444444444444445,0.16444444444444445
19,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334
20,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.1688888888888889,0.1688888888888889,0.1688888888888889
21,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334
22,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334
23,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334
24,0.18222222222222223,0.18222222222222223,0.18222222222222223,0.17777777777777778,0.17777777777777778,0.17777777777777778
25,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778
26,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.1688888888888889,0.1688888888888889,0.1688888888888889
27,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.18222222222222223,0.18222222222222223,0.18222222222222223
28,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.19555555555555557,0.19555555555555557,0.19555555555555557
29,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.18222222222222223,0.18222222222222223,0.18222222222222223
30,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.18222222222222223,0.18222222222222223,0.18222222222222223
31,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.19555555555555557,0.19555555555555557,0.19555555555555557
32,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.18666666666666668,0.18666666666666668,0.18666666666666668
33,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.20444444444444446,0.20444444444444446,0.20444444444444446
34,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.20444444444444446,0.20444444444444446,0.20444444444444446
35,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.2088888888888889,0.2088888888888889,0.2088888888888889
36,0.19555555555555557,0.19555555555555557,0.19555555555555557,0.21333333333333335,0.21333333333333335,0.21333333333333335
37,0.19111111111111112,0.19111111111111112,0.19111111111111112,0.2088888888888889,0.2088888888888889,0.2088888888888889
38,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.19555555555555557,0.19555555555555557,0.19555555555555557
39,0.19111111111111112,0.19111111111111112,0.19111111111111112,0.2,0.2,0.2
