Step,r_msmarco_bm_50_5000_ff - accuracy,r_msmarco_bm_50_5000_ff - accuracy__MIN,r_msmarco_bm_50_5000_ff - accuracy__MAX,r_msmarco_bm_10_5000_ff - accuracy,r_msmarco_bm_10_5000_ff - accuracy__MIN,r_msmarco_bm_10_5000_ff - accuracy__MAX,r_msmarco_bm_5_5000_ff - accuracy,r_msmarco_bm_5_5000_ff - accuracy__MIN,r_msmarco_bm_5_5000_ff - accuracy__MAX,r_msmarco_bm_1_5000_ff - accuracy,r_msmarco_bm_1_5000_ff - accuracy__MIN,r_msmarco_bm_1_5000_ff - accuracy__MAX
0,0.20532319391634982,0.20532319391634982,0.20532319391634982,0.18250950570342206,0.18250950570342206,0.18250950570342206,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.155893536121673,0.155893536121673,0.155893536121673
1,0.23954372623574144,0.23954372623574144,0.23954372623574144,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.18250950570342206,0.18250950570342206,0.18250950570342206,0.17110266159695817,0.17110266159695817,0.17110266159695817
2,0.23574144486692014,0.23574144486692014,0.23574144486692014,0.17870722433460076,0.17870722433460076,0.17870722433460076,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.17110266159695817,0.17110266159695817,0.17110266159695817
3,0.22053231939163498,0.22053231939163498,0.22053231939163498,0.18250950570342206,0.18250950570342206,0.18250950570342206,0.16730038022813687,0.16730038022813687,0.16730038022813687,0.155893536121673,0.155893536121673,0.155893536121673
4,0.22813688212927757,0.22813688212927757,0.22813688212927757,0.18250950570342206,0.18250950570342206,0.18250950570342206,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1596958174904943,0.1596958174904943,0.1596958174904943
5,0.22053231939163498,0.22053231939163498,0.22053231939163498,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.1596958174904943,0.1596958174904943,0.1596958174904943,0.1596958174904943,0.1596958174904943,0.1596958174904943
6,0.20532319391634982,0.20532319391634982,0.20532319391634982,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.1596958174904943,0.1596958174904943,0.1596958174904943,0.1520912547528517,0.1520912547528517,0.1520912547528517
7,0.20532319391634982,0.20532319391634982,0.20532319391634982,0.16730038022813687,0.16730038022813687,0.16730038022813687,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.1596958174904943,0.1596958174904943,0.1596958174904943
8,0.21292775665399238,0.21292775665399238,0.21292775665399238,0.17870722433460076,0.17870722433460076,0.17870722433460076,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.155893536121673,0.155893536121673,0.155893536121673
9,0.23954372623574144,0.23954372623574144,0.23954372623574144,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.155893536121673,0.155893536121673,0.155893536121673
10,0.23954372623574144,0.23954372623574144,0.23954372623574144,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1596958174904943,0.1596958174904943,0.1596958174904943
11,0.2585551330798479,0.2585551330798479,0.2585551330798479,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.155893536121673,0.155893536121673,0.155893536121673
