Step,r_semeval_no_super_5000_ff - unique_paths,r_semeval_no_super_5000_ff - unique_paths__MIN,r_semeval_no_super_5000_ff - unique_paths__MAX,r_semeval_400_1.0_32_5000_ff - unique_paths,r_semeval_400_1.0_32_5000_ff - unique_paths__MIN,r_semeval_400_1.0_32_5000_ff - unique_paths__MAX,r_semeval_100_1.0_32_5000_ff - unique_paths,r_semeval_100_1.0_32_5000_ff - unique_paths__MIN,r_semeval_100_1.0_32_5000_ff - unique_paths__MAX,r_semeval_300_1.0_32_5000_ff - unique_paths,r_semeval_300_1.0_32_5000_ff - unique_paths__MIN,r_semeval_300_1.0_32_5000_ff - unique_paths__MAX,r_semeval_200_1.0_32_5000_ff - unique_paths,r_semeval_200_1.0_32_5000_ff - unique_paths__MIN,r_semeval_200_1.0_32_5000_ff - unique_paths__MAX
59,34755,34755,34755,7985,7985,7985,17883,17883,17883,9189,9189,9189,12130,12130,12130
60,35086,35086,35086,8063,8063,8063,18030,18030,18030,9259,9259,9259,12241,12241,12241
61,35338,35338,35338,8140,8140,8140,18140,18140,18140,9318,9318,9318,12339,12339,12339
62,35597,35597,35597,8199,8199,8199,18255,18255,18255,9382,9382,9382,12436,12436,12436
63,35890,35890,35890,8271,8271,8271,18388,18388,18388,9460,9460,9460,12540,12540,12540
64,36205,36205,36205,8331,8331,8331,18513,18513,18513,9499,9499,9499,12644,12644,12644
65,36539,36539,36539,8407,8407,8407,18633,18633,18633,9556,9556,9556,12784,12784,12784
66,36840,36840,36840,8483,8483,8483,18738,18738,18738,9624,9624,9624,12871,12871,12871
67,37202,37202,37202,8552,8552,8552,18842,18842,18842,9690,9690,9690,12970,12970,12970
68,37528,37528,37528,8629,8629,8629,18951,18951,18951,9761,9761,9761,13057,13057,13057
69,37873,37873,37873,8718,8718,8718,19044,19044,19044,9816,9816,9816,13134,13134,13134
70,38238,38238,38238,8803,8803,8803,19162,19162,19162,9864,9864,9864,13215,13215,13215
71,38584,38584,38584,8860,8860,8860,19267,19267,19267,9911,9911,9911,13299,13299,13299
72,38887,38887,38887,8931,8931,8931,19363,19363,19363,9965,9965,9965,13374,13374,13374
73,39209,39209,39209,8984,8984,8984,19491,19491,19491,10025,10025,10025,13465,13465,13465
74,39607,39607,39607,9066,9066,9066,19587,19587,19587,10087,10087,10087,13549,13549,13549
75,39987,39987,39987,9120,9120,9120,19709,19709,19709,10154,10154,10154,13652,13652,13652
76,40421,40421,40421,9177,9177,9177,19854,19854,19854,10210,10210,10210,13745,13745,13745
77,40802,40802,40802,9239,9239,9239,19979,19979,19979,10276,10276,10276,13812,13812,13812
78,41165,41165,41165,9299,9299,9299,20128,20128,20128,10323,10323,10323,13893,13893,13893
79,41462,41462,41462,9338,9338,9338,20264,20264,20264,10379,10379,10379,13962,13962,13962
80,41758,41758,41758,9399,9399,9399,20404,20404,20404,10430,10430,10430,14026,14026,14026
81,42066,42066,42066,9449,9449,9449,20526,20526,20526,10487,10487,10487,14126,14126,14126
82,42407,42407,42407,9501,9501,9501,20632,20632,20632,10549,10549,10549,14216,14216,14216
83,42767,42767,42767,9562,9562,9562,20760,20760,20760,10618,10618,10618,14302,14302,14302
84,43072,43072,43072,9604,9604,9604,20882,20882,20882,10669,10669,10669,14398,14398,14398
85,43391,43391,43391,9673,9673,9673,21010,21010,21010,10721,10721,10721,14476,14476,14476
86,43686,43686,43686,9743,9743,9743,21149,21149,21149,10794,10794,10794,14573,14573,14573
87,43951,43951,43951,9812,9812,9812,21274,21274,21274,10842,10842,10842,14652,14652,14652
88,44277,44277,44277,9868,9868,9868,21413,21413,21413,10902,10902,10902,14719,14719,14719
89,44615,44615,44615,9928,9928,9928,21548,21548,21548,10945,10945,10945,14782,14782,14782
90,44917,44917,44917,9980,9980,9980,21671,21671,21671,10996,10996,10996,14853,14853,14853
91,45214,45214,45214,10041,10041,10041,21813,21813,21813,11051,11051,11051,14930,14930,14930
92,45547,45547,45547,10090,10090,10090,21922,21922,21922,11101,11101,11101,15012,15012,15012
93,45868,45868,45868,10140,10140,10140,22040,22040,22040,11154,11154,11154,15080,15080,15080
94,46184,46184,46184,10192,10192,10192,22157,22157,22157,11201,11201,11201,15161,15161,15161
95,46494,46494,46494,10258,10258,10258,22274,22274,22274,11253,11253,11253,15262,15262,15262
96,46831,46831,46831,10324,10324,10324,22393,22393,22393,11310,11310,11310,15347,15347,15347
97,47177,47177,47177,10381,10381,10381,22521,22521,22521,11361,11361,11361,15433,15433,15433
98,47515,47515,47515,10435,10435,10435,22672,22672,22672,11416,11416,11416,15506,15506,15506
99,47816,47816,47816,10499,10499,10499,22825,22825,22825,11454,11454,11454,15586,15586,15586
100,48131,48131,48131,10567,10567,10567,22987,22987,22987,11501,11501,11501,15677,15677,15677
101,48430,48430,48430,10616,10616,10616,23150,23150,23150,11551,11551,11551,15762,15762,15762
102,48729,48729,48729,10673,10673,10673,23315,23315,23315,11611,11611,11611,15850,15850,15850
103,49024,49024,49024,10732,10732,10732,23431,23431,23431,11676,11676,11676,15924,15924,15924
104,49315,49315,49315,10806,10806,10806,23568,23568,23568,11736,11736,11736,16004,16004,16004
105,49609,49609,49609,10885,10885,10885,23699,23699,23699,11805,11805,11805,16063,16063,16063
106,49968,49968,49968,10936,10936,10936,23813,23813,23813,11864,11864,11864,16138,16138,16138
107,50324,50324,50324,10999,10999,10999,23935,23935,23935,11928,11928,11928,16238,16238,16238
108,50687,50687,50687,11048,11048,11048,24043,24043,24043,11966,11966,11966,16326,16326,16326
109,51004,51004,51004,11109,11109,11109,24152,24152,24152,12031,12031,12031,16418,16418,16418
110,51309,51309,51309,11156,11156,11156,24277,24277,24277,12097,12097,12097,16517,16517,16517
111,51625,51625,51625,11198,11198,11198,24376,24376,24376,12169,12169,12169,16616,16616,16616
112,51913,51913,51913,11243,11243,11243,24488,24488,24488,12226,12226,12226,16688,16688,16688
113,52235,52235,52235,11292,11292,11292,24618,24618,24618,12282,12282,12282,16782,16782,16782
114,52519,52519,52519,11350,11350,11350,24734,24734,24734,12336,12336,12336,16892,16892,16892
115,52808,52808,52808,11402,11402,11402,24844,24844,24844,12382,12382,12382,16973,16973,16973
116,53088,53088,53088,11460,11460,11460,24975,24975,24975,12428,12428,12428,17045,17045,17045
117,53400,53400,53400,11513,11513,11513,25101,25101,25101,12490,12490,12490,17128,17128,17128
118,53718,53718,53718,11556,11556,11556,25206,25206,25206,12548,12548,12548,17200,17200,17200
119,54020,54020,54020,11596,11596,11596,25325,25325,25325,12601,12601,12601,17281,17281,17281
120,54315,54315,54315,11638,11638,11638,25441,25441,25441,12645,12645,12645,17373,17373,17373
121,54608,54608,54608,11678,11678,11678,25576,25576,25576,12693,12693,12693,17447,17447,17447
122,54882,54882,54882,11720,11720,11720,25680,25680,25680,12752,12752,12752,17518,17518,17518
123,55162,55162,55162,11770,11770,11770,25783,25783,25783,12796,12796,12796,17599,17599,17599
124,55449,55449,55449,11819,11819,11819,25895,25895,25895,12848,12848,12848,17701,17701,17701
125,55793,55793,55793,11874,11874,11874,26005,26005,26005,12895,12895,12895,17780,17780,17780
126,56141,56141,56141,11925,11925,11925,26143,26143,26143,12948,12948,12948,17868,17868,17868
127,56467,56467,56467,11967,11967,11967,26300,26300,26300,13007,13007,13007,17951,17951,17951
128,56821,56821,56821,12020,12020,12020,26483,26483,26483,13054,13054,13054,18044,18044,18044
129,57157,57157,57157,12057,12057,12057,26624,26624,26624,13106,13106,13106,18145,18145,18145
130,57491,57491,57491,12096,12096,12096,26778,26778,26778,13155,13155,13155,18231,18231,18231
131,57814,57814,57814,12146,12146,12146,26911,26911,26911,13206,13206,13206,18322,18322,18322
132,58155,58155,58155,12191,12191,12191,27024,27024,27024,13256,13256,13256,18419,18419,18419
133,58499,58499,58499,12245,12245,12245,27142,27142,27142,13296,13296,13296,18515,18515,18515
134,58838,58838,58838,12301,12301,12301,27265,27265,27265,13341,13341,13341,18606,18606,18606
135,59159,59159,59159,12365,12365,12365,27389,27389,27389,13397,13397,13397,18715,18715,18715
136,59444,59444,59444,12426,12426,12426,27492,27492,27492,13453,13453,13453,18827,18827,18827
137,59732,59732,59732,12476,12476,12476,27596,27596,27596,13510,13510,13510,18926,18926,18926
138,60005,60005,60005,12519,12519,12519,27726,27726,27726,13552,13552,13552,19007,19007,19007
139,60330,60330,60330,12570,12570,12570,27868,27868,27868,13589,13589,13589,19091,19091,19091
140,60638,60638,60638,12632,12632,12632,27991,27991,27991,13629,13629,13629,19179,19179,19179
141,60962,60962,60962,12687,12687,12687,28100,28100,28100,13676,13676,13676,19269,19269,19269
142,61321,61321,61321,12736,12736,12736,28203,28203,28203,13723,13723,13723,19345,19345,19345
143,61673,61673,61673,12788,12788,12788,28316,28316,28316,13775,13775,13775,19426,19426,19426
144,62010,62010,62010,12847,12847,12847,28426,28426,28426,13834,13834,13834,19485,19485,19485
145,62301,62301,62301,12897,12897,12897,28528,28528,28528,13890,13890,13890,19564,19564,19564
146,62615,62615,62615,12944,12944,12944,28656,28656,28656,13936,13936,13936,19633,19633,19633
147,62924,62924,62924,13001,13001,13001,28796,28796,28796,14001,14001,14001,19706,19706,19706
148,63228,63228,63228,13054,13054,13054,28927,28927,28927,14045,14045,14045,19765,19765,19765
149,63523,63523,63523,13120,13120,13120,29069,29069,29069,14086,14086,14086,19868,19868,19868
150,63817,63817,63817,13169,13169,13169,29178,29178,29178,14134,14134,14134,19930,19930,19930
151,64116,64116,64116,13231,13231,13231,29290,29290,29290,14178,14178,14178,20011,20011,20011
152,64446,64446,64446,13280,13280,13280,29392,29392,29392,14232,14232,14232,20091,20091,20091
153,64749,64749,64749,13333,13333,13333,29504,29504,29504,14282,14282,14282,20168,20168,20168
154,65081,65081,65081,13386,13386,13386,29639,29639,29639,14333,14333,14333,20243,20243,20243
155,65374,65374,65374,13435,13435,13435,29751,29751,29751,14390,14390,14390,20323,20323,20323
156,65664,65664,65664,13496,13496,13496,29875,29875,29875,14449,14449,14449,20405,20405,20405
