width,numbers
1,7.149295176001033
2,11.237522279003315
3,15.087354913001036
4,19.27047862499967
5,21.385520777999773
6,24.31124997099687
7,26.821990933000052
8,28.324960013000236
9,31.324993948001065
10,34.17856945099993
11,36.76375871599885
12,38.09730085499905
13,41.972597019001114
14,41.65225221199944
15,44.60267164600009
16,46.18628235600045
17,49.311024677001114
18,48.36381399899983
19,52.33669657000064
20,52.44500033700024
21,55.870277412002906
22,55.22410057700108
23,61.30544404600005
24,60.04768010400221
25,61.400283843999205
26,65.02994828800001
27,64.17456668500017
28,67.64311790500142
29,67.54857913399974
30,72.51250257900028
31,69.66492673599714
32,73.54305340200153
33,74.4805670780006
34,77.12050548799743
35,77.45320186900062
36,76.6483147450017
37,81.00392150399784
38,82.55236027100182
39,81.39096293300099
40,84.21902159399906
41,84.32720686500033
42,86.91179692399965
43,87.61709187999804
44,88.16333393199966
45,90.73231916399891
46,90.91620074200182
47,93.30674000200088
48,94.35198707199743
49,94.59657548500036
50,96.8684109349997
