Step,r_semeval_400_1.0_32_5000_ff - accuracy,r_semeval_400_1.0_32_5000_ff - accuracy__MIN,r_semeval_400_1.0_32_5000_ff - accuracy__MAX,r_semeval_100_1.0_32_5000_ff - accuracy,r_semeval_100_1.0_32_5000_ff - accuracy__MIN,r_semeval_100_1.0_32_5000_ff - accuracy__MAX,r_semeval_300_1.0_32_5000_ff - accuracy,r_semeval_300_1.0_32_5000_ff - accuracy__MIN,r_semeval_300_1.0_32_5000_ff - accuracy__MAX,r_semeval_200_1.0_32_5000_ff - accuracy,r_semeval_200_1.0_32_5000_ff - accuracy__MIN,r_semeval_200_1.0_32_5000_ff - accuracy__MAX
0,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7225433526011561,0.7225433526011561,0.7225433526011561
1,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.6763005780346821,0.6763005780346821,0.6763005780346821,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7052023121387283,0.7052023121387283,0.7052023121387283
2,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.6647398843930635,0.6647398843930635,0.6647398843930635,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7052023121387283,0.7052023121387283,0.7052023121387283
3,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.6647398843930635,0.6647398843930635,0.6647398843930635,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7167630057803468,0.7167630057803468,0.7167630057803468
4,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7052023121387283,0.7052023121387283,0.7052023121387283
5,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7052023121387283,0.7052023121387283,0.7052023121387283
6,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7052023121387283,0.7052023121387283,0.7052023121387283
7,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7109826589595376,0.7109826589595376,0.7109826589595376
8,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7109826589595376,0.7109826589595376,0.7109826589595376
9,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7109826589595376,0.7109826589595376,0.7109826589595376
10,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.6878612716763006,0.6878612716763006,0.6878612716763006,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7052023121387283,0.7052023121387283,0.7052023121387283
