width,numbers
1,3.8000130230011564
2,6.811660485000175
3,8.86630791799871
4,8.256293259999438
5,12.864674650001689
6,11.366245017999972
7,13.848480528999062
8,14.215461488000074
9,16.464866217000235
10,16.788017703998776
11,17.16157372899943
12,17.65841226899829
13,18.641703022
14,21.074756991998584
15,20.749414658001115
16,21.337425105000875
17,22.195793163000417
18,23.388976098000057
19,21.616534185001
20,24.19281210400004
21,24.019044837001275
22,26.154974995000885
23,25.9900229570012
24,24.893310797000595
25,28.148548410999865
26,27.339354675001232
27,27.402568375000556
28,28.283551557000465
29,28.908973757999775
30,29.000059214999055
31,32.664358243000606
32,29.58789665400036
33,32.43350302399995
34,31.042703277000328
35,29.067617715998495
36,31.216529081999397
37,31.538015616999473
38,32.69700512199961
39,33.81130990800011
40,33.17400173999886
41,32.00326462599878
42,34.399868775999494
43,32.28254620400003
44,35.76057835899883
45,34.44756484499885
46,35.74053851200006
47,34.68365250500028
48,34.80863287300053
49,34.87917950300107
50,36.16586237199954
