Step,r_semeval_no_super_5000_ff - entropy,r_semeval_no_super_5000_ff - entropy__MIN,r_semeval_no_super_5000_ff - entropy__MAX,r_semeval_400_1.0_32_5000_ff - entropy,r_semeval_400_1.0_32_5000_ff - entropy__MIN,r_semeval_400_1.0_32_5000_ff - entropy__MAX,r_semeval_100_1.0_32_5000_ff - entropy,r_semeval_100_1.0_32_5000_ff - entropy__MIN,r_semeval_100_1.0_32_5000_ff - entropy__MAX,r_semeval_300_1.0_32_5000_ff - entropy,r_semeval_300_1.0_32_5000_ff - entropy__MIN,r_semeval_300_1.0_32_5000_ff - entropy__MAX,r_semeval_200_1.0_32_5000_ff - entropy,r_semeval_200_1.0_32_5000_ff - entropy__MIN,r_semeval_200_1.0_32_5000_ff - entropy__MAX
0,3.6228394508361816,3.6228394508361816,3.6228394508361816,,,,,,,,,,,,
1,3.6555607318878174,3.6555607318878174,3.6555607318878174,0.5857109427452087,0.5857109427452087,0.5857109427452087,2.10345458984375,2.10345458984375,2.10345458984375,0.7139160633087158,0.7139160633087158,0.7139160633087158,1.1455574035644531,1.1455574035644531,1.1455574035644531
2,3.4244728088378906,3.4244728088378906,3.4244728088378906,0.4860590696334839,0.4860590696334839,0.4860590696334839,2.020172357559204,2.020172357559204,2.020172357559204,0.7282024621963501,0.7282024621963501,0.7282024621963501,1.0611542463302612,1.0611542463302612,1.0611542463302612
3,3.2478785514831543,3.2478785514831543,3.2478785514831543,0.4623604416847229,0.4623604416847229,0.4623604416847229,1.8747886419296265,1.8747886419296265,1.8747886419296265,0.7422839403152466,0.7422839403152466,0.7422839403152466,1.2014774084091187,1.2014774084091187,1.2014774084091187
4,3.5120503902435303,3.5120503902435303,3.5120503902435303,0.5619267821311951,0.5619267821311951,0.5619267821311951,1.6357191801071167,1.6357191801071167,1.6357191801071167,0.7125468850135803,0.7125468850135803,0.7125468850135803,0.962706446647644,0.962706446647644,0.962706446647644
5,3.5820178985595703,3.5820178985595703,3.5820178985595703,0.5032224059104919,0.5032224059104919,0.5032224059104919,1.6943507194519043,1.6943507194519043,1.6943507194519043,0.6693682074546814,0.6693682074546814,0.6693682074546814,0.9748950004577637,0.9748950004577637,0.9748950004577637
6,3.379890203475952,3.379890203475952,3.379890203475952,0.5277221202850342,0.5277221202850342,0.5277221202850342,1.414647102355957,1.414647102355957,1.414647102355957,0.7220206260681152,0.7220206260681152,0.7220206260681152,1.0432602167129517,1.0432602167129517,1.0432602167129517
7,3.69807767868042,3.69807767868042,3.69807767868042,0.592502236366272,0.592502236366272,0.592502236366272,1.2759816646575928,1.2759816646575928,1.2759816646575928,0.68970787525177,0.68970787525177,0.68970787525177,0.9250552654266357,0.9250552654266357,0.9250552654266357
8,3.4251761436462402,3.4251761436462402,3.4251761436462402,0.5466496348381042,0.5466496348381042,0.5466496348381042,1.3631722927093506,1.3631722927093506,1.3631722927093506,0.6692566275596619,0.6692566275596619,0.6692566275596619,0.8618006706237793,0.8618006706237793,0.8618006706237793
9,3.3545286655426025,3.3545286655426025,3.3545286655426025,0.5726057291030884,0.5726057291030884,0.5726057291030884,1.5400880575180054,1.5400880575180054,1.5400880575180054,0.6547592282295227,0.6547592282295227,0.6547592282295227,0.8859949111938477,0.8859949111938477,0.8859949111938477
